Service_Area,Band,Company_Name,"Frequency, Quantum"
Andhra Pradesh,2100,Aircel,"[[1974.0- 1979.0], [5.0]]"
Andhra Pradesh,2100,Bharti Airtel,"[[1959.0- 1964.0], [5.0]]"
Andhra Pradesh,2100,Idea,"[[1969.0- 1974.0], [5.0]]"
Assam,2100,Aircel,"[[1974.0- 1979.0], [5.0]]"
Assam,2100,BhartiAirtel,"[[1969.0- 1974.0], [5.0]]"
Assam,2100,Reliance Telecom,"[[1959.0- 1964.0], [5.0]]"
Bihar,2100,Aircel,"[[1974.0- 1979.0], [5.0]]"
Bihar,2100,Bharti Airtel,"[[1964.0- 1969.0], [5.0]]"
Bihar,2100,Reliance Telecom,"[[1969.0- 1974.0], [5.0]]"
Bihar,2100,STel,"[[1959.0- 1964.0], [5.0]]"
Delhi,2100,Bharti Airtel,"[[1969.0- 1974.0], [5.0]]"
Delhi,2100,Reliance Telecom,"[[1974.0- 1979.0], [5.0]]"
Delhi,2100,Vodafone,"[[1959.0- 1964.0], [5.0]]"
Gujarat,2100,Idea,"[[1974.0- 1979.0], [5.0]]"
Gujarat,2100,TTSL,"[[1959.0- 1964.0], [5.0]]"
Gujarat,2100,Vodafone,"[[1969.0- 1974.0], [5.0]]"
Haryana,2100,Idea,"[[1959.0- 1964.0], [5.0]]"
Haryana,2100,TTSL,"[[1969.0- 1974.0], [5.0]]"
Haryana,2100,Vodafone,"[[1974.0- 1979.0], [5.0]]"
Himachal Pradesh,2100,Bharti Airtel,"[[1959.0- 1964.0], [5.0]]"
Himachal Pradesh,2100,Idea,"[[1969.0- 1974.0], [5.0]]"
Himachal Pradesh,2100,Reliance Telecom,"[[1974.0- 1979.0], [5.0]]"
Himachal Pradesh,2100,STel,"[[1964.0- 1969.0], [5.0]]"
Jammu & Kashmir,2100,Aircel,"[[1964.0- 1969.0], [5.0]]"
Jammu & Kashmir,2100,Bharti Airtel,"[[1974.0- 1979.0], [5.0]]"
Jammu & Kashmir,2100,Idea,"[[1959.0- 1964.0], [5.0]]"
Jammu & Kashmir,2100,Reliance Telecom,"[[1969.0- 1974.0], [5.0]]"
Karnataka,2100,Aircel,"[[1969.0- 1974.0], [5.0]]"
Karnataka,2100,Bharti Airtel,"[[1974.0- 1979.0], [5.0]]"
Karnataka,2100,TTSL,"[[1959.0- 1964.0], [5.0]]"
Kerala,2100,Aircel,"[[1974.0- 1979.0], [5.0]]"
Kerala,2100,Idea,"[[1959.0- 1964.0], [5.0]]"
Kerala,2100,TTSL,"[[1969.0- 1974.0], [5.0]]"
Kolkata,2100,Aircel,"[[1969.0- 1974.0], [5.0]]"
Kolkata,2100,Reliance Telecom,"[[1974.0- 1979.0], [5.0]]"
Kolkata,2100,Vodafone,"[[1959.0- 1964.0], [5.0]]"
Madhya Pradesh,2100,Idea,"[[1959.0- 1964.0], [5.0]]"
Madhya Pradesh,2100,Reliance Telecom,"[[1969.0- 1974.0], [5.0]]"
Madhya Pradesh,2100,TTSL,"[[1974.0- 1979.0], [5.0]]"
Maharashtra,2100,Idea,"[[1969.0- 1974.0], [5.0]]"
Maharashtra,2100,TTSL,"[[1959.0- 1964.0], [5.0]]"
Maharashtra,2100,Vodafone,"[[1974.0- 1979.0], [5.0]]"
Mumbai,2100,Bharti Airtel,"[[1974.0- 1979.0], [5.0]]"
Mumbai,2100,Reliance Telecom,"[[1959.0- 1964.0], [5.0]]"
Mumbai,2100,Vodafone,"[[1969.0- 1974.0], [5.0]]"
North East,2100,Aircel,"[[1959.0- 1964.0], [5.0]]"
North East,2100,BhartiAirtel,"[[1969.0- 1974.0], [5.0]]"
North East,2100,Reliance Telecom,"[[1974.0- 1979.0], [5.0]]"
Orissa,2100,Aircel,"[[1969.0- 1974.0], [5.0]]"
Orissa,2100,Reliance Telecom,"[[1974.0- 1979.0], [5.0]]"
Orissa,2100,STel,"[[1959.0- 1964.0], [5.0]]"
Punjab,2100,Aircel,"[[1974.0- 1979.0], [5.0]]"
Punjab,2100,Idea,"[[1959.0- 1964.0], [5.0]]"
Punjab,2100,Reliance Telecom,"[[1964.0- 1969.0], [5.0]]"
Punjab,2100,TTSL,"[[1969.0- 1974.0], [5.0]]"
Rajasthan,2100,Bharti Airtel,"[[1969.0- 1974.0], [5.0]]"
Rajasthan,2100,Reliance Telecom,"[[1959.0- 1964.0], [5.0]]"
Rajasthan,2100,TTSL,"[[1974.0- 1979.0], [5.0]]"
Tamil Nadu,2100,Aircel,"[[1974.0- 1979.0], [5.0]]"
Tamil Nadu,2100,Bharti Airtel,"[[1959.0- 1964.0], [5.0]]"
Tamil Nadu,2100,Vodafone,"[[1969.0- 1974.0], [5.0]]"
Uttar Pradesh (E),2100,Aircel,"[[1959.0- 1964.0], [5.0]]"
Uttar Pradesh (E),2100,Idea,"[[1969.0- 1974.0], [5.0]]"
Uttar Pradesh (E),2100,Vodafone,"[[1974.0- 1979.0], [5.0]]"
Uttar Pradesh (W),2100,Bharti Airtel,"[[1959.0- 1964.0], [5.0]]"
Uttar Pradesh (W),2100,Idea,"[[1969.0- 1974.0], [5.0]]"
Uttar Pradesh (W),2100,TTSL,"[[1974.0- 1979.0], [5.0]]"
West Bengal,2100,Aircel,"[[1974.0- 1979.0], [5.0]]"
West Bengal,2100,Bharti Airtel,"[[1959.0- 1964.0], [5.0]]"
West Bengal,2100,Reliance Telecom,"[[1964.0- 1969.0], [5.0]]"
West Bengal,2100,Vodafone,"[[1969.0- 1974.0], [5.0]]"
Andhra Pradesh,2300,Aircel,"[[2302.5- 2322.5], [20.0]]"
Andhra Pradesh,2300,Infotel,"[[2347.5- 2367.5], [20.0]]"
Assam,2300,Aircel,"[[2302.5- 2322.5], [20.0]]"
Assam,2300,Infotel,"[[2325.0- 2345.0], [20.0]]"
Bihar,2300,Aircel,"[[2335.0- 2355.0], [20.0]]"
Bihar,2300,Infotel,"[[2302.5- 2322.5], [20.0]]"
Delhi,2300,Infotel,"[[2305.0- 2325.0], [20.0]]"
Delhi,2300,Qualcomm,"[[2327.5- 2347.5], [20.0]]"
Gujarat,2300,Infotel,"[[2305.0- 2325.0], [20.0]]"
Gujarat,2300,Tikona,"[[2327.5- 2347.5], [20.0]]"
Haryana,2300,Infotel,"[[2322.5- 2342.5], [20.0]]"
Haryana,2300,Qualcomm,"[[2362.5- 2382.5], [20.0]]"
Himachal Pradesh,2300,Infotel,"[[2345.0- 2365.0], [20.0]]"
Himachal Pradesh,2300,Tikona,"[[2322.5- 2342.5], [20.0]]"
Jammu & Kashmir,2300,Aircel,"[[2340.0- 2360.0], [20.0]]"
Jammu & Kashmir,2300,Infotel,"[[2380.0- 2400.0], [20.0]]"
Karnataka,2300,Bharti Airtel,"[[2325.0- 2345.0], [20.0]]"
Karnataka,2300,Infotel,"[[2302.5- 2322.5], [20.0]]"
Kerala,2300,Infotel,"[[2302.5- 2322.5], [20.0]]"
Kerala,2300,Qualcomm,"[[2325.0- 2345.0], [20.0]]"
Kolkata,2300,Bharti Airtel,"[[2332.5- 2352.5], [20.0]]"
Kolkata,2300,Infotel,"[[2305.0- 2325.0], [20.0]]"
Madhya Pradesh,2300,Augere,"[[2302.5- 2322.5], [20.0]]"
Madhya Pradesh,2300,Infotel,"[[2332.5- 2352.5], [20.0]]"
Maharashtra,2300,Bharti Airtel,"[[2305.0- 2325.0], [20.0]]"
Maharashtra,2300,Infotel,"[[2327.5- 2347.5], [20.0]]"
Mumbai,2300,Infotel,"[[2305.0- 2325.0], [20.0]]"
Mumbai,2300,Qualcomm,"[[2327.5- 2347.5], [20.0]]"
North East,2300,Aircel,"[[2325.0- 2345.0], [20.0]]"
North East,2300,Infotel,"[[2302.5- 2322.5], [20.0]]"
Orissa,2300,Aircel,"[[2302.5- 2322.5], [20.0]]"
Orissa,2300,Infotel,"[[2335.0- 2355.0], [20.0]]"
Punjab,2300,Bharti Airtel,"[[2320.0- 2340.0], [20.0]]"
Punjab,2300,Infotel,"[[2357.5- 2377.5], [20.0]]"
Rajasthan,2300,Infotel,"[[2357.5- 2377.5], [20.0]]"
Rajasthan,2300,Tikona,"[[2320.0- 2340.0], [20.0]]"
Tamil Nadu,2300,Aircel,"[[2335.0- 2355.0], [20.0]]"
Tamil Nadu,2300,Infotel,"[[2312.5- 2332.5], [20.0]]"
Uttar Pradesh (E),2300,Infotel,"[[2357.5- 2377.5], [20.0]]"
Uttar Pradesh (E),2300,Tikona,"[[2320.0- 2340.0], [20.0]]"
Uttar Pradesh (W),2300,Infotel,"[[2357.5- 2377.5], [20.0]]"
Uttar Pradesh (W),2300,Tikona,"[[2320.0- 2340.0], [20.0]]"
West Bengal,2300,Aircel,"[[2332.5- 2352.5], [20.0]]"
West Bengal,2300,Infotel,"[[2305.0- 2325.0], [20.0]]"
